코드,날짜,종가
OIL_BRT,2020-05-11 00:00:00,29.63
OIL_BRT,2020-05-08 00:00:00,30.97
OIL_BRT,2020-05-07 00:00:00,29.46
OIL_BRT,2020-05-06 00:00:00,29.72
OIL_BRT,2020-05-05 00:00:00,30.97
OIL_BRT,2020-05-04 00:00:00,27.2
OIL_BRT,2020-05-01 00:00:00,26.44
OIL_BRT,2020-04-30 00:00:00,25.27
OIL_BRT,2020-04-29 00:00:00,22.54
OIL_BRT,2020-04-28 00:00:00,20.46
OIL_BRT,2020-04-27 00:00:00,19.99
OIL_BRT,2020-04-24 00:00:00,21.44
OIL_BRT,2020-04-23 00:00:00,21.33
OIL_BRT,2020-04-22 00:00:00,20.37
OIL_BRT,2020-04-21 00:00:00,19.33
OIL_BRT,2020-04-20 00:00:00,25.57
OIL_BRT,2020-04-17 00:00:00,28.08
OIL_BRT,2020-04-16 00:00:00,27.82
OIL_BRT,2020-04-15 00:00:00,27.69
OIL_BRT,2020-04-14 00:00:00,29.6
OIL_BRT,2020-04-13 00:00:00,31.74
OIL_BRT,2020-04-09 00:00:00,31.48
OIL_BRT,2020-04-08 00:00:00,32.84
OIL_BRT,2020-04-07 00:00:00,31.87
OIL_BRT,2020-04-06 00:00:00,33.05
OIL_BRT,2020-04-03 00:00:00,34.11
OIL_BRT,2020-04-02 00:00:00,29.94
OIL_BRT,2020-04-01 00:00:00,24.74
OIL_BRT,2020-03-31 00:00:00,22.74
OIL_BRT,2020-03-30 00:00:00,22.76
OIL_BRT,2020-03-27 00:00:00,24.93
OIL_BRT,2020-03-26 00:00:00,26.34
OIL_BRT,2020-03-25 00:00:00,27.39
OIL_BRT,2020-03-24 00:00:00,27.15
OIL_BRT,2020-03-23 00:00:00,27.03
OIL_BRT,2020-03-20 00:00:00,26.98
OIL_BRT,2020-03-19 00:00:00,28.47
OIL_BRT,2020-03-18 00:00:00,24.88
OIL_BRT,2020-03-17 00:00:00,28.73
OIL_BRT,2020-03-16 00:00:00,30.05
OIL_BRT,2020-03-13 00:00:00,33.85
OIL_BRT,2020-03-12 00:00:00,33.22
OIL_BRT,2020-03-11 00:00:00,35.79
OIL_BRT,2020-03-10 00:00:00,37.22
OIL_BRT,2020-03-09 00:00:00,34.36
OIL_BRT,2020-03-06 00:00:00,45.27
OIL_BRT,2020-03-05 00:00:00,49.99
OIL_BRT,2020-03-04 00:00:00,51.13
OIL_BRT,2020-03-03 00:00:00,51.86
OIL_BRT,2020-03-02 00:00:00,51.9
OIL_BRT,2020-02-28 00:00:00,50.52
OIL_BRT,2020-02-27 00:00:00,52.18
OIL_BRT,2020-02-26 00:00:00,53.43
OIL_BRT,2020-02-25 00:00:00,54.95
OIL_BRT,2020-02-24 00:00:00,56.3
OIL_BRT,2020-02-21 00:00:00,58.5
OIL_BRT,2020-02-20 00:00:00,59.31
OIL_BRT,2020-02-19 00:00:00,59.12
OIL_BRT,2020-02-18 00:00:00,57.75
OIL_BRT,2020-02-17 00:00:00,57.67
OIL_BRT,2020-02-14 00:00:00,57.32
OIL_BRT,2020-02-13 00:00:00,56.34
