코드,날짜,종가
OIL_CL,2020-05-11 00:00:00,24.14
OIL_CL,2020-05-08 00:00:00,24.74
OIL_CL,2020-05-07 00:00:00,23.55
OIL_CL,2020-05-06 00:00:00,23.99
OIL_CL,2020-05-05 00:00:00,24.56
OIL_CL,2020-05-04 00:00:00,20.39
OIL_CL,2020-05-01 00:00:00,19.78
OIL_CL,2020-04-30 00:00:00,18.84
OIL_CL,2020-04-29 00:00:00,15.06
OIL_CL,2020-04-28 00:00:00,12.34
OIL_CL,2020-04-27 00:00:00,12.78
OIL_CL,2020-04-24 00:00:00,16.94
OIL_CL,2020-04-23 00:00:00,16.5
OIL_CL,2020-04-22 00:00:00,13.78
OIL_CL,2020-04-21 00:00:00,10.01
OIL_CL,2020-04-20 00:00:00,-37.63
OIL_CL,2020-04-17 00:00:00,18.27
OIL_CL,2020-04-16 00:00:00,19.87
OIL_CL,2020-04-15 00:00:00,19.87
OIL_CL,2020-04-14 00:00:00,20.11
OIL_CL,2020-04-13 00:00:00,22.41
OIL_CL,2020-04-09 00:00:00,22.76
OIL_CL,2020-04-08 00:00:00,25.09
OIL_CL,2020-04-07 00:00:00,23.63
OIL_CL,2020-04-06 00:00:00,26.08
OIL_CL,2020-04-03 00:00:00,28.34
OIL_CL,2020-04-02 00:00:00,25.32
OIL_CL,2020-04-01 00:00:00,20.31
OIL_CL,2020-03-31 00:00:00,20.48
OIL_CL,2020-03-30 00:00:00,20.09
OIL_CL,2020-03-27 00:00:00,21.51
OIL_CL,2020-03-26 00:00:00,22.6
OIL_CL,2020-03-25 00:00:00,24.49
OIL_CL,2020-03-24 00:00:00,24.01
OIL_CL,2020-03-23 00:00:00,23.36
OIL_CL,2020-03-20 00:00:00,22.63
OIL_CL,2020-03-19 00:00:00,25.22
OIL_CL,2020-03-18 00:00:00,20.37
OIL_CL,2020-03-17 00:00:00,26.95
OIL_CL,2020-03-16 00:00:00,28.7
OIL_CL,2020-03-13 00:00:00,31.73
OIL_CL,2020-03-12 00:00:00,31.5
OIL_CL,2020-03-11 00:00:00,32.98
OIL_CL,2020-03-10 00:00:00,34.36
OIL_CL,2020-03-09 00:00:00,31.13
OIL_CL,2020-03-06 00:00:00,41.28
OIL_CL,2020-03-05 00:00:00,45.9
OIL_CL,2020-03-04 00:00:00,46.78
OIL_CL,2020-03-03 00:00:00,47.18
OIL_CL,2020-03-02 00:00:00,46.75
OIL_CL,2020-02-28 00:00:00,44.76
OIL_CL,2020-02-27 00:00:00,47.09
OIL_CL,2020-02-26 00:00:00,48.73
OIL_CL,2020-02-25 00:00:00,49.9
OIL_CL,2020-02-24 00:00:00,51.43
OIL_CL,2020-02-21 00:00:00,53.38
OIL_CL,2020-02-20 00:00:00,53.88
OIL_CL,2020-02-19 00:00:00,53.29
OIL_CL,2020-02-18 00:00:00,52.05
OIL_CL,2020-02-14 00:00:00,52.05
OIL_CL,2020-02-13 00:00:00,51.42
OIL_CL,2020-02-12 00:00:00,51.17
OIL_CL,2020-02-11 00:00:00,49.94
OIL_CL,2020-02-10 00:00:00,49.57
OIL_CL,2020-02-07 00:00:00,50.32
OIL_CL,2020-02-06 00:00:00,50.95
OIL_CL,2020-02-05 00:00:00,50.75
OIL_CL,2020-02-04 00:00:00,49.61
OIL_CL,2020-02-03 00:00:00,50.11
OIL_CL,2020-01-31 00:00:00,51.56
OIL_CL,2020-01-30 00:00:00,52.14
OIL_CL,2020-01-29 00:00:00,53.33
OIL_CL,2020-01-28 00:00:00,53.48
OIL_CL,2020-01-27 00:00:00,53.14
OIL_CL,2020-01-24 00:00:00,54.19
OIL_CL,2020-01-23 00:00:00,55.59
OIL_CL,2020-01-22 00:00:00,56.74
OIL_CL,2020-01-21 00:00:00,58.38
OIL_CL,2020-01-17 00:00:00,58.54
OIL_CL,2020-01-16 00:00:00,58.52
OIL_CL,2020-01-15 00:00:00,57.81
OIL_CL,2020-01-14 00:00:00,58.23
OIL_CL,2020-01-13 00:00:00,58.08
OIL_CL,2020-01-10 00:00:00,59.04
OIL_CL,2020-01-09 00:00:00,59.56
OIL_CL,2020-01-08 00:00:00,59.61
OIL_CL,2020-01-07 00:00:00,62.7
OIL_CL,2020-01-06 00:00:00,63.27
OIL_CL,2020-01-03 00:00:00,63.05
OIL_CL,2020-01-02 00:00:00,61.18
OIL_CL,2019-12-31 00:00:00,61.06
OIL_CL,2019-12-30 00:00:00,61.68
OIL_CL,2019-12-27 00:00:00,61.72
OIL_CL,2019-12-26 00:00:00,61.68
OIL_CL,2019-12-24 00:00:00,61.11
OIL_CL,2019-12-23 00:00:00,60.52
OIL_CL,2019-12-20 00:00:00,60.44
OIL_CL,2019-12-19 00:00:00,61.22
OIL_CL,2019-12-18 00:00:00,60.93
OIL_CL,2019-12-17 00:00:00,60.94
OIL_CL,2019-12-16 00:00:00,60.21
