코드,날짜,종가
OIL_DU,2020-05-11 00:00:00,27.27
OIL_DU,2020-05-08 00:00:00,28.54
OIL_DU,2020-05-07 00:00:00,27.14
OIL_DU,2020-05-06 00:00:00,27.35
OIL_DU,2020-05-05 00:00:00,28.94
OIL_DU,2020-05-04 00:00:00,26.2
OIL_DU,2020-05-01 00:00:00,25.3
OIL_DU,2020-04-30 00:00:00,25.35
OIL_DU,2020-04-29 00:00:00,20.38
OIL_DU,2020-04-28 00:00:00,20.41
OIL_DU,2020-04-27 00:00:00,20.37
OIL_DU,2020-04-24 00:00:00,20.45
OIL_DU,2020-04-23 00:00:00,20.45
OIL_DU,2020-04-22 00:00:00,20
OIL_DU,2020-04-21 00:00:00,19.07
OIL_DU,2020-04-20 00:00:00,21.47
OIL_DU,2020-04-17 00:00:00,22.23
OIL_DU,2020-04-16 00:00:00,21.71
OIL_DU,2020-04-15 00:00:00,21.46
OIL_DU,2020-04-14 00:00:00,21.96
OIL_DU,2020-04-13 00:00:00,24.74
OIL_DU,2020-04-09 00:00:00,23.26
OIL_DU,2020-04-08 00:00:00,26.16
OIL_DU,2020-04-07 00:00:00,26
OIL_DU,2020-04-06 00:00:00,27.45
OIL_DU,2020-04-03 00:00:00,29.39
OIL_DU,2020-04-02 00:00:00,26.16
OIL_DU,2020-04-01 00:00:00,22.46
OIL_DU,2020-03-31 00:00:00,25.72
OIL_DU,2020-03-30 00:00:00,33.84
OIL_DU,2020-03-27 00:00:00,33.91
OIL_DU,2020-03-26 00:00:00,34.07
OIL_DU,2020-03-25 00:00:00,34.15
OIL_DU,2020-03-24 00:00:00,33.99
OIL_DU,2020-03-23 00:00:00,33.96
OIL_DU,2020-03-20 00:00:00,34.05
OIL_DU,2020-03-19 00:00:00,34.59
OIL_DU,2020-03-18 00:00:00,33.61
OIL_DU,2020-03-17 00:00:00,35.27
OIL_DU,2020-03-16 00:00:00,35.45
OIL_DU,2020-03-13 00:00:00,36.96
OIL_DU,2020-03-12 00:00:00,36.31
